"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
29,"1","2025-01-25T21:07:51.110869Z",465,"[{""start"":0,""end"":4,""text"":""HIRA"",""labels"":[""PROPN""]},{""start"":5,""end"":9,""text"":""यानि"",""labels"":[""PART""]},{""start"":10,""end"":18,""text"":""Highways"",""labels"":[""PROPN""]},{""start"":20,""end"":26,""text"":""I-ways"",""labels"":[""PROPN""]},{""start"":27,""end"":36,""text"":"" Railways"",""labels"":[""PROPN""]},{""start"":39,""end"":47,""text"":"" Airways"",""labels"":[""PROPN""]},{""start"":49,""end"":57,""text"":""त्रिपुरा"",""labels"":[""PROPN""]},{""start"":75,""end"":91,""text"":"" इंफ्रास्ट्रक्चर"",""labels"":[""PROPN""]},{""start"":129,""end"":132,""text"":""है।"",""labels"":[""X""]},{""start"":36,""end"":39,""text"":"" और"",""labels"":[""CONJ""]},{""start"":119,""end"":124,""text"":""सुधार"",""labels"":[""NOUN""]},{""start"":125,""end"":128,""text"":""हुआ"",""labels"":[""VERB""]},{""start"":116,""end"":118,""text"":""से"",""labels"":[""ADV""]},{""start"":111,""end"":115,""text"":""तेजी"",""labels"":[""ADJ""]},{""start"":107,""end"":110,""text"":""में"",""labels"":[""ADP""]},{""start"":103,""end"":107,""text"":""साल "",""labels"":[""NOUN""]},{""start"":100,""end"":103,""text"":"" 3 "",""labels"":[""NUM""]},{""start"":58,""end"":60,""text"":""की"",""labels"":[""CONJ""]},{""start"":73,""end"":75,""text"":""के"",""labels"":[""CONJ""]},{""start"":61,""end"":73,""text"":""कनेक्टिविटी "",""labels"":[""NOUN""]},{""start"":92,""end"":95,""text"":""में"",""labels"":[""ADP""]},{""start"":95,""end"":100,""text"":"" बीते"",""labels"":[""PART""]}]",177.793,"HIRA यानि Highways, I-ways, Railways और Airways. त्रिपुरा की कनेक्टिविटी के इंफ्रास्ट्रक्चर में बीते 3 साल में तेजी से सुधार हुआ है।","2025-01-25T21:07:51.110869Z"

30,"1","2025-01-25T21:12:11.751276Z",466,"[{""start"":0,""end"":6,""text"":""दक्षिण"",""labels"":[""ADJ""]},{""start"":7,""end"":15,""text"":""त्रिपुरा"",""labels"":[""PROPN""]},{""start"":94,""end"":96,""text"":""आज"",""labels"":[""NOUN""]},{""start"":97,""end"":99,""text"":""से"",""labels"":[""ADV""]},{""start"":100,""end"":105,""text"":""शुरु "",""labels"":[""ADV""]},{""start"":105,""end"":107,""text"":""हो"",""labels"":[""VERB""]},{""start"":108,""end"":111,""text"":""गया"",""labels"":[""X""]},{""start"":112,""end"":115,""text"":""है।"",""labels"":[""X""]},{""start"":68,""end"":74,""text"":"" Check"",""labels"":[""PROPN""]},{""start"":75,""end"":79,""text"":""Post"",""labels"":[""PROPN""]},{""start"":58,""end"":68,""text"":""Integrated"",""labels"":[""ADJ""]},{""start"":80,""end"":82,""text"":""का"",""labels"":[""CONJ""]},{""start"":16,""end"":18,""text"":""के"",""labels"":[""CONJ""]},{""start"":83,""end"":90,""text"":""निर्माण"",""labels"":[""NOUN""]},{""start"":91,""end"":93,""text"":""भी"",""labels"":[""PART""]},{""start"":55,""end"":57,""text"":""ही"",""labels"":[""PART""]},{""start"":51,""end"":54,""text"":""में"",""labels"":[""ADP""]},{""start"":37,""end"":41,""text"":"" हुए"",""labels"":[""X""]},{""start"":19,""end"":22,""text"":""इसी"",""labels"":[""DET""]},{""start"":23,""end"":28,""text"":""महत्व"",""labels"":[""NOUN""]},{""start"":32,""end"":35,""text"":""देख"",""labels"":[""VERB""]},{""start"":29,""end"":31,""text"":""को"",""labels"":[""CONJ""]},{""start"":42,""end"":44,""text"":""अब"",""labels"":[""ADJ""]},{""start"":45,""end"":50,""text"":""सबरूम"",""labels"":[""ADJ""]}]",258.097,"दक्षिण त्रिपुरा के इसी महत्व को देखते हुए अब सबरूम में ही Integrated Check Post का निर्माण भी आज से शुरु हो गया है।","2025-01-25T21:12:11.751276Z"

31,"1","2025-01-25T21:14:56.242774Z",467,"[{""start"":0,""end"":2,""text"":""और"",""labels"":[""CONJ""]},{""start"":2,""end"":6,""text"":"" यही"",""labels"":[""PROPN""]},{""start"":7,""end"":10,""text"":""वजह"",""labels"":[""NOUN""]},{""start"":10,""end"":13,""text"":"" है"",""labels"":[""X""]},{""start"":13,""end"":16,""text"":"" कि"",""labels"":[""CONJ""]},{""start"":111,""end"":114,""text"":""था।"",""labels"":[""X""]},{""start"":107,""end"":110,""text"":""आगे"",""labels"":[""X""]},{""start"":104,""end"":106,""text"":""से"",""labels"":[""PART""]},{""start"":87,""end"":91,""text"":"" देश"",""labels"":[""NOUN""]},{""start"":98,""end"":103,""text"":""राज्य"",""labels"":[""NOUN""]},{""start"":27,""end"":37,""text"":""महाराष्ट्र"",""labels"":[""PROPN""]},{""start"":38,""end"":52,""text"":""Infrastructure"",""labels"":[""PROPN""]},{""start"":53,""end"":61,""text"":""Projects"",""labels"":[""PROPN""]},{""start"":62,""end"":65,""text"":""में"",""labels"":[""ADP""]},{""start"":66,""end"":71,""text"":""Total"",""labels"":[""DET""]},{""start"":72,""end"":83,""text"":""Expenditure"",""labels"":[""NOUN""]},{""start"":84,""end"":87,""text"":""में"",""labels"":[""ADP""]},{""start"":92,""end"":94,""text"":""के"",""labels"":[""CONJ""]},{""start"":95,""end"":97,""text"":""हर"",""labels"":[""ADJ""]},{""start"":17,""end"":22,""text"":""पिछले"",""labels"":[""ADJ""]},{""start"":23,""end"":26,""text"":""साल"",""labels"":[""NOUN""]}]",162.642,"और यही वजह है कि पिछले साल महाराष्ट्र Infrastructure Projects में Total Expenditure में देश के हर राज्य से आगे था।","2025-01-25T21:14:56.242774Z"

32,"1","2025-01-25T21:18:32.113417Z",468,"[{""start"":0,""end"":2,""text"":""ये"",""labels"":[""PRON""]},{""start"":2,""end"":12,""text"":"" प्रोजेक्ट"",""labels"":[""NOUN""]},{""start"":13,""end"":24,""text"":""महाराष्ट्र "",""labels"":[""PROPN""]},{""start"":24,""end"":26,""text"":""के"",""labels"":[""CONJ""]},{""start"":50,""end"":53,""text"":"" के"",""labels"":[""CONJ""]},{""start"":46,""end"":50,""text"":""यहां"",""labels"":[""PRON""]},{""start"":42,""end"":44,""text"":""को"",""labels"":[""CONJ""]},{""start"":27,""end"":34,""text"":""ग्रामीण"",""labels"":[""ADJ""]},{""start"":35,""end"":41,""text"":""इलाकों"",""labels"":[""NOUN""]},{""start"":143,""end"":146,""text"":""है।"",""labels"":[""X""]},{""start"":138,""end"":142,""text"":""रखता"",""labels"":[""VERB""]},{""start"":130,""end"":137,""text"":"" क्षमता"",""labels"":[""ADJ""]},{""start"":128,""end"":130,""text"":""की"",""labels"":[""CONJ""]},{""start"":105,""end"":107,""text"":""की"",""labels"":[""CONJ""]},{""start"":111,""end"":116,""text"":""ऊँचाई"",""labels"":[""NOUN""]},{""start"":117,""end"":119,""text"":""पर"",""labels"":[""ADP""]},{""start"":120,""end"":122,""text"":""ले"",""labels"":[""PART""]},{""start"":96,""end"":98,""text"":""को"",""labels"":[""CONJ""]},{""start"":99,""end"":104,""text"":""विकास"",""labels"":[""NOUN""]},{""start"":108,""end"":110,""text"":""नई"",""labels"":[""ADJ""]},{""start"":123,""end"":128,""text"":""जाने "",""labels"":[""PART""]},{""start"":54,""end"":65,""text"":""Agriculture"",""labels"":[""PROPN""]},{""start"":66,""end"":72,""text"":""Sector"",""labels"":[""PROPN""]},{""start"":73,""end"":78,""text"":"" Agro"",""labels"":[""PROPN""]},{""start"":78,""end"":85,""text"":""-Based "",""labels"":[""PROPN""]},{""start"":85,""end"":95,""text"":""Industries"",""labels"":[""PROPN""]}]",208.095,"ये प्रोजेक्ट महाराष्ट्र के ग्रामीण इलाकों को, यहां के Agriculture Sector, Agro-Based Industries को विकास की नई ऊँचाई पर ले जाने की क्षमता रखता है।","2025-01-25T21:18:32.113417Z"

33,"1","2025-01-25T21:20:37.221793Z",469,"[{""start"":0,""end"":5,""text"":""Skill"",""labels"":[""PROPN""]},{""start"":5,""end"":8,""text"":"" के"",""labels"":[""CONJ""]},{""start"":86,""end"":88,""text"":""के"",""labels"":[""CONJ""]},{""start"":15,""end"":17,""text"":""के"",""labels"":[""CONJ""]},{""start"":28,""end"":30,""text"":""को"",""labels"":[""CONJ""]},{""start"":35,""end"":39,""text"":"" हुए"",""labels"":[""PART""]},{""start"":40,""end"":42,""text"":""ही"",""labels"":[""PART""]},{""start"":43,""end"":48,""text"":"" 2014"",""labels"":[""NUM""]},{""start"":48,""end"":52,""text"":"" में"",""labels"":[""ADP""]},{""start"":53,""end"":58,""text"":""सरकार"",""labels"":[""NOUN""]},{""start"":59,""end"":63,""text"":""बनते"",""labels"":[""VERB""]},{""start"":64,""end"":67,""text"":""ही,"",""labels"":[""PART""]},{""start"":68,""end"":73,""text"":""Skill"",""labels"":[""NOUN""]},{""start"":74,""end"":86,""text"":""Development "",""labels"":[""NOUN""]},{""start"":89,""end"":92,""text"":""लिए"",""labels"":[""PART""]},{""start"":114,""end"":118,""text"":""गया।"",""labels"":[""X""]},{""start"":107,""end"":113,""text"":"" बनाया"",""labels"":[""VERB""]},{""start"":93,""end"":98,""text"":""विशेष"",""labels"":[""ADJ""]},{""start"":98,""end"":107,""text"":"" मंत्रालय"",""labels"":[""NOUN""]},{""start"":18,""end"":21,""text"":""इसी"",""labels"":[""PRON""]},{""start"":31,""end"":35,""text"":""दखते"",""labels"":[""VERB""]},{""start"":22,""end"":27,""text"":""महत्व"",""labels"":[""ADJ""]},{""start"":9,""end"":14,""text"":"" कौशल"",""labels"":[""NOUN""]}]",122.681,"Skill के, कौशल के इसी महत्व को दखते हुए ही, 2014 में सरकार बनते ही, Skill Development के लिए विशेष मंत्रालय बनाया गया।","2025-01-25T21:20:37.221793Z"

34,"1","2025-01-25T21:23:12.041538Z",470,"[{""start"":0,""end"":8,""text"":""विशेषतौर"",""labels"":[""ADJ""]},{""start"":9,""end"":11,""text"":""पर"",""labels"":[""ADP""]},{""start"":12,""end"":22,""text"":""Electronic"",""labels"":[""NOUN""]},{""start"":24,""end"":26,""text"":""और"",""labels"":[""CONJ""]},{""start"":82,""end"":85,""text"":"" है"",""labels"":[""X""]},{""start"":27,""end"":37,""text"":""Automobile"",""labels"":[""PROPN""]},{""start"":38,""end"":51,""text"":""Manufacturing"",""labels"":[""PROPN""]},{""start"":52,""end"":55,""text"":""में"",""labels"":[""ADP""]},{""start"":56,""end"":60,""text"":""भारत"",""labels"":[""PROPN""]},{""start"":60,""end"":67,""text"":"" Global"",""labels"":[""NOUN""]},{""start"":68,""end"":70,""text"":""हब"",""labels"":[""PART""]},{""start"":71,""end"":75,""text"":""बनता"",""labels"":[""VERB""]},{""start"":76,""end"":78,""text"":""जा"",""labels"":[""VERB""]},{""start"":79,""end"":82,""text"":""रहा"",""labels"":[""PART""]}]",152.1,"विशेषतौर पर Electronics और Automobile Manufacturing में भारत Global हब बनता जा रहा है।","2025-01-25T21:23:12.041538Z"

35,"1","2025-01-25T21:25:44.564127Z",471,"[{""start"":0,""end"":5,""text"":""बुलेट"",""labels"":[""NOUN""]},{""start"":6,""end"":11,""text"":""ट्रेन"",""labels"":[""ADP""]},{""start"":12,""end"":14,""text"":""से"",""labels"":[""ADP""]},{""start"":115,""end"":117,""text"":""है"",""labels"":[""X""]},{""start"":106,""end"":114,""text"":""भागीदारी"",""labels"":[""NOUN""]},{""start"":102,""end"":105,""text"":"" की"",""labels"":[""PRON""]},{""start"":96,""end"":102,""text"":"" जापान"",""labels"":[""PROPN""]},{""start"":90,""end"":96,""text"":"" उसमें"",""labels"":[""PRON""]},{""start"":87,""end"":90,""text"":"" है"",""labels"":[""X""]},{""start"":75,""end"":80,""text"":""तैयार"",""labels"":[""NOUN""]},{""start"":81,""end"":83,""text"":""हो"",""labels"":[""VERB""]},{""start"":84,""end"":87,""text"":""रहा"",""labels"":[""VERB""]},{""start"":19,""end"":25,""text"":"" Smart"",""labels"":[""PROPN""]},{""start"":26,""end"":32,""text"":""Cities"",""labels"":[""PROPN""]},{""start"":33,""end"":35,""text"":""तक"",""labels"":[""PART""]},{""start"":36,""end"":38,""text"":""आज"",""labels"":[""NOUN""]},{""start"":14,""end"":19,""text"":"" लेकर"",""labels"":[""VERB""]},{""start"":55,""end"":58,""text"":""नया"",""labels"":[""ADJ""]},{""start"":59,""end"":74,""text"":""इंफ्रास्ट्रक्चर"",""labels"":[""NOUN""]},{""start"":39,""end"":41,""text"":""जो"",""labels"":[""CONJ""]},{""start"":42,""end"":45,""text"":""New"",""labels"":[""ADJ""]},{""start"":46,""end"":51,""text"":""India"",""labels"":[""PROPN""]},{""start"":51,""end"":54,""text"":"" का"",""labels"":[""PRON""]}]",148.518,"बुलेट ट्रेन से लेकर Smart Cities तक आज जो New India का नया इंफ्रास्ट्रक्चर तैयार हो रहा है उसमें जापान की भागीदारी है।","2025-01-25T21:25:44.564127Z"

36,"1","2025-01-25T21:27:38.554389Z",472,"[{""start"":7,""end"":10,""text"":""में"",""labels"":[""ADP""]},{""start"":0,""end"":6,""text"":""वडोदरा"",""labels"":[""PROPN""]},{""start"":11,""end"":15,""text"":""भारत"",""labels"":[""PROPN""]},{""start"":16,""end"":18,""text"":""की"",""labels"":[""PRON""]},{""start"":24,""end"":30,""text"":""Deemed"",""labels"":[""PROPN""]},{""start"":30,""end"":31,""text"":"" "",""labels"":[""PROPN""]},{""start"":31,""end"":38,""text"":""Railway"",""labels"":[""PROPN""]},{""start"":39,""end"":48,""text"":""universit"",""labels"":[""PROPN""]},{""start"":50,""end"":52,""text"":""की"",""labels"":[""PRON""]},{""start"":52,""end"":60,""text"":"" स्थापना"",""labels"":[""NOUN""]},{""start"":61,""end"":63,""text"":""के"",""labels"":[""PRON""]},{""start"":64,""end"":68,""text"":""पीछे"",""labels"":[""PART""]},{""start"":69,""end"":72,""text"":""यही"",""labels"":[""PRON""]},{""start"":73,""end"":77,""text"":""मकसद"",""labels"":[""NOUN""]},{""start"":78,""end"":81,""text"":""है।"",""labels"":[""X""]},{""start"":19,""end"":23,""text"":""पहली"",""labels"":[""ADJ""]}]",111.183,"वडोदरा में भारत की पहली Deemed Railway university की स्थापना के पीछे यही मकसद है।","2025-01-25T21:27:38.554389Z"

37,"1","2025-01-25T21:29:01.224033Z",473,"[{""start"":0,""end"":7,""text"":""तेज़पुर"",""labels"":[""PROPN""]},{""start"":8,""end"":19,""text"":""यूनिवर्सिटी"",""labels"":[""PROPN""]},{""start"":20,""end"":22,""text"":""की"",""labels"":[""PRON""]},{""start"":23,""end"":25,""text"":""एक"",""labels"":[""NUM""]},{""start"":26,""end"":31,""text"":""पहचान"",""labels"":[""NOUN""]},{""start"":32,""end"":37,""text"":""अपने "",""labels"":[""PRON""]},{""start"":37,""end"":47,""text"":""Innovation"",""labels"":[""NOUN""]},{""start"":47,""end"":54,""text"":"" Center"",""labels"":[""NOUN""]},{""start"":54,""end"":57,""text"":"" के"",""labels"":[""PRON""]},{""start"":58,""end"":61,""text"":""लिए"",""labels"":[""PART""]},{""start"":62,""end"":64,""text"":""भी"",""labels"":[""ADV""]},{""start"":65,""end"":68,""text"":""है।"",""labels"":[""X""]}]",66.704,"तेज़पुर यूनिवर्सिटी की एक पहचान अपने Innovation Center के लिए भी है।","2025-01-25T21:29:01.224033Z"

38,"1","2025-01-25T21:31:44.791933Z",474,"[{""start"":0,""end"":6,""text"":""रामनगर"",""labels"":[""PROPN""]},{""start"":7,""end"":9,""text"":""के"",""labels"":[""PRON""]},{""start"":130,""end"":136,""text"":""होंगी।"",""labels"":[""VERB""]},{""start"":123,""end"":129,""text"":""उपलब्ध"",""labels"":[""NOUN""]},{""start"":114,""end"":122,""text"":""सुविधाएं"",""labels"":[""NOUN""]},{""start"":9,""end"":17,""text"":"" अस्पताल"",""labels"":[""NOUN""]},{""start"":18,""end"":21,""text"":""में"",""labels"":[""PRON""]},{""start"":22,""end"":24,""text"":""अब"",""labels"":[""ADV""]},{""start"":25,""end"":35,""text"":""Mechanised"",""labels"":[""PROPN""]},{""start"":36,""end"":43,""text"":""Laundry"",""labels"":[""PROPN""]},{""start"":89,""end"":91,""text"":""के"",""labels"":[""PRON""]},{""start"":45,""end"":54,""text"":""व्यवस्थित"",""labels"":[""NOUN""]},{""start"":55,""end"":67,""text"":""रजिस्ट्रेशन "",""labels"":[""NOUN""]},{""start"":67,""end"":73,""text"":""काउंटर"",""labels"":[""NOUN""]},{""start"":74,""end"":76,""text"":""और"",""labels"":[""CONJ""]},{""start"":77,""end"":88,""text"":""कर्मचारियों"",""labels"":[""NOUN""]},{""start"":92,""end"":95,""text"":""लिए"",""labels"":[""PART""]},{""start"":96,""end"":103,""text"":""आवासीय "",""labels"":[""NOUN""]},{""start"":103,""end"":108,""text"":""परिसर"",""labels"":[""NOUN""]},{""start"":109,""end"":113,""text"":""जैसी"",""labels"":[""ADJ""]}]",160.373,"रामनगर के अस्पताल में अब Mechanised Laundry, व्यवस्थित रजिस्ट्रेशन काउंटर और कर्मचारियों के लिए आवासीय परिसर जैसी सुविधाएं उपलब्ध होंगी।","2025-01-25T21:31:44.791933Z"

39,"1","2025-01-25T21:34:54.596837Z",475,"[{""start"":0,""end"":3,""text"":""इसी"",""labels"":[""DET""]},{""start"":3,""end"":7,""text"":"" तरह"",""labels"":[""ADV""]},{""start"":8,""end"":12,""text"":""ESIC"",""labels"":[""PROPN""]},{""start"":13,""end"":20,""text"":""अस्पताल"",""labels"":[""NOUN""]},{""start"":21,""end"":23,""text"":""और"",""labels"":[""CONJ""]},{""start"":24,""end"":28,""text"":""BHU "",""labels"":[""PROPN""]},{""start"":28,""end"":33,""text"":""Super"",""labels"":[""PROPN""]},{""start"":34,""end"":43,""text"":""Specialty"",""labels"":[""PROPN""]},{""start"":44,""end"":51,""text"":""Hospita"",""labels"":[""NOUN""]},{""start"":53,""end"":55,""text"":""भी"",""labels"":[""ADV""]},{""start"":56,""end"":61,""text"":""यहां "",""labels"":[""PRON""]},{""start"":61,""end"":66,""text"":""गरीब "",""labels"":[""NOUN""]},{""start"":66,""end"":69,""text"":""से "",""labels"":[""PRON""]},{""start"":69,""end"":74,""text"":""गरीब "",""labels"":[""NOUN""]},{""start"":74,""end"":82,""text"":""साथियों "",""labels"":[""NOUN""]},{""start"":84,""end"":86,""text"":"", "",""labels"":[""PRON""]},{""start"":86,""end"":94,""text"":""गर्भवती "",""labels"":[""NOUN""]},{""start"":82,""end"":84,""text"":""को"",""labels"":[""PRON""]},{""start"":94,""end"":102,""text"":""महिलाओं "",""labels"":[""NOUN""]},{""start"":102,""end"":105,""text"":""को "",""labels"":[""PRON""]},{""start"":105,""end"":111,""text"":""बेहतर "",""labels"":[""ADJ""]},{""start"":111,""end"":121,""text"":""स्वास्थ्य "",""labels"":[""NOUN""]},{""start"":121,""end"":130,""text"":""सुविधाएं "",""labels"":[""NOUN""]},{""start"":130,""end"":133,""text"":""दे "",""labels"":[""VERB""]},{""start"":133,""end"":137,""text"":""रहे "",""labels"":[""VERB""]},{""start"":137,""end"":141,""text"":""हैं।"",""labels"":[""X""]}]",188.13,"इसी तरह ESIC अस्पताल और BHU Super Specialty Hospital भी यहां गरीब से गरीब साथियों को, गर्भवती महिलाओं को बेहतर स्वास्थ्य सुविधाएं दे रहे हैं।","2025-01-25T21:34:54.596837Z"

